class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
980,0,0,0,0.761014,0.716227,0.015913,1.491696,0.023737
980,0,0,1,0.986584,0.983832,0.991555,-1.144765,-1.135098
980,0,0,2,0.919695,0.687607,0.468561,1.344048,0.629768
980,0,0,3,0.970102,1.092246,1.204429,-1.840090,-2.216257
980,0,0,4,0.944550,1.047106,1.185508,-1.243703,-1.474420
980,0,0,5,0.602219,0.727295,-4.501387,0.221638,-0.997679
980,0,0,6,0.905047,0.987267,0.698376,0.608251,0.424788
980,0,0,7,0.985058,1.040466,1.087962,-1.401071,-1.524312
980,0,0,8,0.967122,0.930734,0.916132,1.443102,1.322072
980,0,0,9,0.966332,1.053847,1.301601,-0.941132,-1.224978
980,0,0,10,0.992501,0.759993,0.747459,3.373219,2.521343
980,0,0,11,0.793248,0.787385,-0.014238,1.089131,-0.015507
980,0,0,12,0.851005,0.420581,0.325472,3.273253,1.065353
980,0,0,13,0.940002,1.042081,2.328793,-0.503139,-1.171706
980,0,0,14,0.948302,1.120917,1.503907,-0.778566,-1.170890
980,0,0,15,0.996198,0.988730,0.972548,-3.132616,-3.046618
980,0,1,0,0.956074,1.006604,1.681067,-0.319763,-0.537544
980,0,1,1,0.988692,0.964478,0.975859,2.761042,2.694388
980,0,1,2,0.941521,0.689243,0.569931,1.906070,1.086329
980,0,1,3,0.900961,0.976580,-0.216687,0.394512,-0.085486
980,0,1,4,0.953354,0.710985,0.579704,2.211052,1.281756
980,0,1,5,0.872723,0.938364,0.450544,0.985333,0.443936
980,0,1,6,0.994698,0.960077,0.936165,3.507612,3.283703
980,0,1,7,0.953761,0.930980,0.498458,0.359411,0.179152
980,0,1,8,0.871319,0.931917,-2.306674,0.271094,-0.625326
980,0,1,9,0.936845,0.955401,1.348462,0.549339,0.740762
980,0,1,10,0.932374,0.962855,1.036644,1.302383,1.350107
980,0,1,11,0.952704,1.026620,-142.450280,-0.001790,0.254964
980,0,1,12,0.916373,0.922887,1.365858,-0.390899,-0.533912
980,0,1,13,0.956086,0.724543,0.602265,2.362362,1.422768
980,0,1,14,0.068067,0.026494,-0.015550,1.323418,-0.020580
980,0,1,15,0.989805,0.859525,0.842858,6.492099,5.471916
980,0,2,0,0.947559,0.977665,0.933764,1.535790,1.434066
980,0,2,1,0.986592,0.873739,0.808376,2.174432,1.757759
980,0,2,2,0.951337,0.993312,-1.715813,0.191792,-0.329079
980,0,2,3,0.962152,1.002767,-0.806589,0.192960,-0.155639
980,0,2,4,0.783616,0.374066,0.283095,2.081585,0.589286
980,0,2,5,0.981510,0.703862,0.664520,6.729175,4.471670
980,0,2,6,0.938963,0.978104,0.657978,1.159538,0.762950
980,0,2,7,0.945704,0.974285,-0.525543,0.319413,-0.167865
980,0,2,8,0.880268,0.492463,0.396122,1.526084,0.604515
980,0,2,9,0.954213,0.930685,0.858408,3.284201,2.819185
980,0,2,10,0.905936,0.917678,-0.121943,0.557856,-0.068027
980,0,2,11,0.980545,0.798943,0.736112,3.590240,2.642820
980,0,2,12,0.955659,0.998280,-3.211993,0.107864,-0.346458
980,0,2,13,0.842951,0.702318,0.200018,0.921358,0.184288
980,0,2,14,0.878182,0.899653,-3.423895,0.136085,-0.465941
980,0,2,15,0.947162,1.003754,-1.590946,0.216874,-0.345035
980,0,3,0,0.678659,0.465508,0.069655,3.495184,0.243457
980,0,3,1,0.954247,0.918748,0.745477,2.247231,1.675259
980,0,3,2,0.893784,0.885378,-0.000921,1.031544,-0.000950
980,0,3,3,0.920597,0.958978,10.103442,-0.067508,-0.682061
980,0,3,4,0.930208,0.927773,0.834081,2.404747,2.005754
980,0,3,5,0.990974,0.769417,0.758203,3.776125,2.863070
980,0,3,6,0.952019,0.977519,0.894653,1.383638,1.237876
980,0,3,7,0.933398,0.865482,0.428953,1.163291,0.498997
980,0,3,8,0.995220,0.978884,0.977459,9.763638,9.543559
980,0,3,9,0.985412,0.702901,0.677968,4.563636,3.093997
980,0,3,10,0.953761,1.126622,1.152382,1.067215,1.229839
980,0,3,11,0.814808,0.863165,-0.468291,0.900099,-0.421508
980,0,3,12,0.972039,0.746065,0.676888,4.359000,2.950554
980,0,3,13,0.978488,0.726058,0.683461,9.971115,6.814866
980,0,3,14,0.884569,0.866809,0.206988,1.196254,0.247610
980,0,3,15,0.957388,0.988283,0.850674,1.777628,1.512181
980,0,4,0,0.966407,0.932087,0.880458,2.074305,1.826338
980,0,4,1,0.871806,0.763649,0.301445,3.106564,0.936457
980,0,4,2,0.963403,0.968636,0.742113,0.834857,0.619558
980,0,4,3,0.958011,0.988008,1.008828,1.699853,1.714858
980,0,4,4,0.981492,0.737247,0.682916,5.332623,3.641732
980,0,4,5,0.949589,0.855855,0.596746,2.029805,1.211278
980,0,4,6,0.898102,0.791939,0.181494,1.789921,0.324860
980,0,4,7,0.972269,0.961828,0.727376,1.427093,1.038034
980,0,4,8,0.867964,0.383124,0.338641,2.225307,0.753580
980,0,4,9,0.956502,0.980247,0.647111,0.589979,0.381782
980,0,4,10,0.977533,0.753427,0.678048,8.166389,5.537200
980,0,4,11,0.920063,1.036765,1.743557,1.350564,2.354786
980,0,4,12,0.935253,0.922778,0.757014,1.439744,1.089906
980,0,4,13,0.965952,0.694191,0.626478,5.563046,3.485129
980,0,4,14,0.967264,0.973448,0.660697,1.045261,0.690601
980,0,4,15,0.947200,0.886681,0.467719,1.390344,0.650290
980,0,5,0,0.994986,0.818799,0.811806,14.027848,11.387887
980,0,5,1,0.930153,0.624362,0.512373,6.209802,3.181733
980,0,5,2,0.985745,0.677598,0.654349,10.580075,6.923062
980,0,5,3,0.960732,0.883687,0.721363,3.308051,2.386306
980,0,5,4,0.997842,0.894216,0.886403,11.660670,10.336049
980,0,5,5,0.983171,0.830791,0.790867,9.288103,7.345656
980,0,5,6,0.997912,0.909549,0.907145,18.143461,16.458755
980,0,5,7,0.881145,0.661157,0.398430,3.470235,1.382647
980,0,5,8,0.866243,0.624396,0.374204,4.003066,1.497962
980,0,5,9,0.952619,0.733557,0.645394,4.771809,3.079696
980,0,5,10,0.912159,0.836990,0.761885,4.099620,3.123439
980,0,5,11,0.946610,0.543897,0.496639,8.234400,4.089524
980,0,5,12,0.910419,0.562132,0.430520,4.223418,1.818267
980,0,5,13,0.976088,0.913553,0.806736,5.166119,4.167693
