class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
980,0,0,0,0.833678,0.900023,-1.906002,-0.308010,0.587068
980,0,0,1,0.933463,0.846042,0.571980,-0.626568,-0.358384
980,0,0,2,0.953994,0.898323,1.580365,-0.229535,-0.362750
980,0,0,3,0.948776,1.013919,1.292130,-0.836467,-1.080824
980,0,0,4,0.908699,1.024160,1.299932,-0.790118,-1.027100
980,0,0,5,0.883574,0.738128,0.418132,1.665236,0.696288
980,0,0,6,0.948786,0.958825,0.681546,1.549057,1.055754
980,0,0,7,0.989533,1.051490,1.070422,-1.799753,-1.926495
980,0,0,8,0.973078,0.849103,0.823841,1.941652,1.599613
980,0,0,9,0.971987,1.047421,1.131691,-1.408426,-1.593904
980,0,0,10,0.982618,0.877987,0.885482,2.196109,1.944616
980,0,0,11,0.807139,0.913010,-9.162350,-0.107699,0.986777
980,0,0,12,0.831885,0.698662,0.409931,0.727531,0.298238
980,0,0,13,0.969404,1.062441,1.158471,-1.239134,-1.435501
980,0,0,14,0.956747,1.055161,1.233037,-0.917149,-1.130878
980,0,0,15,0.990968,1.009847,1.219473,-0.350582,-0.427525
980,0,1,0,0.979546,0.998508,1.140245,0.539211,0.614833
980,0,1,1,0.987116,0.970876,0.962993,2.522198,2.428859
980,0,1,2,0.955086,0.975551,1.305927,0.592014,0.773127
980,0,1,3,0.894346,1.095538,5.688910,0.239403,1.361943
980,0,1,4,0.969128,0.924910,1.202911,0.563655,0.678027
980,0,1,5,0.921483,1.199826,2.151508,1.030039,2.216138
980,0,1,6,0.990750,0.964648,0.934806,2.336551,2.184221
980,0,1,7,0.955652,0.977485,1.198062,0.806054,0.965703
980,0,1,8,0.926050,1.066319,3.004801,0.388417,1.167115
980,0,1,9,0.939451,0.929529,0.360202,-0.523858,-0.188695
980,0,1,10,0.957619,0.960657,0.877355,1.137135,0.997671
980,0,1,11,0.968126,0.963571,0.694633,1.659838,1.152977
980,0,1,12,0.963236,1.111971,1.485895,-0.818383,-1.216030
980,0,1,13,0.966676,0.912903,0.977063,0.587500,0.574024
980,0,1,14,0.517789,0.684956,-7.265932,-0.083637,0.607698
980,0,1,15,0.970699,1.194202,1.333311,3.120494,4.160589
980,0,2,0,0.963349,0.949735,0.888964,2.333381,2.074291
980,0,2,1,0.965743,0.956574,1.010685,1.023629,1.034566
980,0,2,2,0.962089,1.028243,2.239745,0.292231,0.654523
980,0,2,3,0.965131,1.042064,2.178034,0.312464,0.680556
980,0,2,4,0.926355,1.050190,1.842732,0.298490,0.550037
980,0,2,5,0.983918,0.958178,0.942686,3.798877,3.581147
980,0,2,6,0.956573,1.069276,1.180576,1.475304,1.741708
980,0,2,7,0.959786,1.023202,1.918920,0.383749,0.736383
980,0,2,8,0.925378,0.910115,1.550766,0.167131,0.259181
980,0,2,9,0.978626,0.881784,0.823833,4.089999,3.369476
980,0,2,10,0.915940,1.026614,2.889908,0.383783,1.109098
980,0,2,11,0.984600,1.062696,1.135152,1.884625,2.139337
980,0,2,12,0.960936,1.030867,2.272915,0.336511,0.764861
980,0,2,13,0.942686,0.969108,0.741091,0.402265,0.298115
980,0,2,14,0.943303,0.991410,1.167832,-0.869253,-1.015141
980,0,2,15,0.944845,1.039175,5.003929,0.150048,0.750831
980,0,3,0,0.938069,0.976835,1.004736,1.247722,1.253631
980,0,3,1,0.960016,0.942229,0.871439,2.346030,2.044421
980,0,3,2,0.935032,0.954930,0.648669,0.945916,0.613586
980,0,3,3,0.957863,0.964675,0.643214,1.170025,0.752576
980,0,3,4,0.927167,0.900433,0.760831,2.408375,1.832366
980,0,3,5,0.985534,1.120104,1.186627,1.954572,2.319348
980,0,3,6,0.968933,0.983036,0.936284,2.370237,2.219216
980,0,3,7,0.956185,0.986986,1.469155,0.694976,1.021028
980,0,3,8,0.993770,1.039966,1.051394,8.366017,8.795977
980,0,3,9,0.985953,1.064071,1.103799,2.581253,2.849183
980,0,3,10,0.884495,0.780401,0.494122,3.216981,1.589581
980,0,3,11,0.830628,1.040548,4.882989,0.387885,1.894040
980,0,3,12,0.983920,0.971063,0.935431,2.699136,2.524856
980,0,3,13,0.988129,1.079578,1.096071,6.130351,6.719302
980,0,3,14,0.940345,0.976451,0.856155,1.047034,0.896423
980,0,3,15,0.977402,0.983101,0.890678,2.367768,2.108919
980,0,4,0,0.963409,0.932234,0.890484,2.494653,2.221448
980,0,4,1,0.974871,1.077524,1.078964,1.846656,1.992475
980,0,4,2,0.960490,1.015875,1.242592,0.796288,0.989461
980,0,4,3,0.968264,1.031636,1.069403,2.472387,2.643979
980,0,4,4,0.989493,1.053069,1.073929,3.788623,4.068714
980,0,4,5,0.962066,1.129990,1.494214,1.760188,2.630097
980,0,4,6,0.956744,1.094553,1.689758,1.486885,2.512475
980,0,4,7,0.974874,0.954550,0.793881,1.868721,1.483542
980,0,4,8,0.839238,0.683474,-0.372328,-0.239588,0.089205
980,0,4,9,0.965199,1.012031,0.992439,0.827419,0.821163
980,0,4,10,0.988702,1.003080,1.000264,5.778840,5.780363
980,0,4,11,0.978477,0.924226,0.925416,4.414533,4.085278
980,0,4,12,0.961371,0.959887,0.903348,1.886371,1.704050
980,0,4,13,0.982319,1.031244,1.070339,3.531104,3.779478
980,0,4,14,0.976033,0.992461,0.853234,1.519231,1.296260
980,0,4,15,0.956107,1.089513,1.507469,1.358917,2.048525
980,0,5,0,0.994134,0.998323,1.002507,11.081689,11.109475
980,0,5,1,0.930784,0.769479,0.680836,3.766259,2.564206
980,0,5,2,0.985900,0.920584,0.917387,7.650848,7.018786
980,0,5,3,0.979279,0.933186,0.828951,2.855558,2.367117
980,0,5,4,0.997061,1.037773,1.042554,10.381485,10.823256
980,0,5,5,0.988433,1.025450,1.031642,7.507529,7.745080
980,0,5,6,0.997191,1.059591,1.064403,15.131957,16.106504
980,0,5,7,0.947951,1.120753,1.372477,2.762566,3.791558
980,0,5,8,0.961577,1.082195,1.232576,3.115155,3.839666
980,0,5,9,0.973278,1.021213,1.058108,4.441153,4.699219
980,0,5,10,0.962541,0.808313,0.749650,5.849443,4.385034
980,0,5,11,0.956699,0.897306,0.899895,4.786714,4.307540
980,0,5,12,0.929284,0.881122,0.684181,1.431648,0.979507
980,0,5,13,0.989560,0.993255,0.971608,5.307657,5.156962
980,0,5,14,0.981844,0.961184,0.966347,5.799172,5.604015
980,0,5,15,0.885384,0.822267,0.698023,1.300191,0.907564
980,0,6,0,0.951402,0.973119,1.034589,2.974736,3.077629
980,0,6,1,0.972389,0.857614,0.817594,5.467313,4.470042
980,0,6,2,0.980165,0.907817,0.821817,5.213248,4.284334
980,0,6,3,0.918455,0.970556,1.057843,1.959208,2.072535
980,0,6,4,0.979714,1.123083,1.199987,4.913947,5.896671
980,0,6,5,0.957037,0.865081,0.782751,3.855016,3.017519
980,0,6,6,0.988169,0.962321,0.953112,10.267582,9.786151
980,0,6,7,0.991798,1.033725,1.041933,7.342807,7.650711
980,0,6,8,0.960109,0.851426,0.729095,5.137269,3.745555
980,0,6,9,0.992457,0.948099,0.928088,10.286623,9.546888
980,0,6,10,0.949644,0.996670,0.997455,2.172126,2.166599
980,0,6,11,0.957087,0.960663,0.997401,3.754290,3.744531
980,0,6,12,0.992612,0.973767,0.944066,11.243884,10.614967
980,0,6,13,0.914582,0.985253,1.941829,-0.325413,-0.631897
980,0,6,14,0.968166,0.942290,0.845040,2.512801,2.123417
980,0,6,15,0.983301,0.991187,0.993066,4.145282,4.116540
980,0,7,0,0.992258,1.050978,1.056548,9.332618,9.860360
980,0,7,1,0.975089,0.992526,0.993474,4.981727,4.949215
980,0,7,2,0.978127,0.999637,1.021141,3.554986,3.630143
980,0,7,3,0.977311,0.884082,0.880683,6.315486,5.561942
980,0,7,4,0.877534,0.682208,0.441478,3.765071,1.662196
980,0,7,5,0.924083,1.034993,1.164892,2.992657,3.486122
980,0,7,6,0.972226,0.946359,0.929730,7.068964,6.572230
980,0,7,7,0.967493,1.159283,1.308818,3.363456,4.402150
980,0,7,8,0.973639,1.019964,0.984763,6.236341,6.141316
980,0,7,9,0.993424,0.970067,0.968072,10.009978,9.690384
980,0,7,10,0.998180,1.006050,1.006525,24.810329,24.972219
980,0,7,11,0.993417,0.958541,0.946772,6.164805,5.836667
980,0,7,12,0.988545,0.978920,0.977075,9.788301,9.563906
980,0,7,13,0.973909,0.901954,0.889676,6.238364,5.550121
980,0,7,14,0.963058,0.827446,0.773435,3.458453,2.674887
980,0,7,15,0.831840,0.825615,-1.079479,0.613389,-0.662140
980,0,8,0,0.962426,1.107344,1.223782,3.448183,4.219825
980,0,8,1,0.974720,0.915195,0.869033,5.307227,4.612156
980,0,8,2,0.912950,0.780487,0.676937,3.115816,2.109210
980,0,8,3,0.965137,0.867355,0.797675,4.735231,3.777175
980,0,8,4,0.990649,1.053963,1.055605,10.306207,10.879288
980,0,8,5,0.970074,1.084907,1.159960,-1.928272,-2.236718
980,0,8,6,0.976624,1.056021,1.087815,4.318693,4.697938
980,0,8,7,0.987030,1.094991,1.192454,6.283650,7.492966
980,0,8,8,0.989140,0.993668,0.971870,5.465841,5.312088
980,0,8,9,0.983371,0.990293,0.986591,5.378099,5.305982
980,0,8,10,0.986090,0.989355,0.986964,6.735701,6.647893
980,0,8,11,0.981257,1.060599,1.134670,4.976852,5.647087
980,0,8,12,0.958975,1.027133,1.041840,3.223036,3.357889
980,0,8,13,0.986428,0.988703,0.976451,7.401366,7.227075
980,0,8,14,0.975721,1.079349,1.097854,4.479475,4.917810
980,0,8,15,0.830644,0.836577,0.909601,0.771738,0.701974
980,0,9,0,0.967792,0.962184,0.985597,3.332785,3.284783
980,0,9,1,0.841625,0.787275,-0.052610,1.390710,-0.073166
980,0,9,2,0.952566,0.878102,0.768205,2.752294,2.114327
980,0,9,3,0.985033,1.033987,1.039935,5.494443,5.713861
980,0,9,4,0.976044,1.090116,1.133601,5.567767,6.311628
980,0,9,5,0.975343,1.076245,1.147884,5.439359,6.243751
980,0,9,6,0.989686,1.065873,1.124049,7.886407,8.864706
980,0,9,7,0.993777,0.944184,0.933120,6.251175,5.833097
980,0,9,8,0.848044,0.768303,0.080012,0.957793,0.076635
980,0,9,9,0.990101,1.002227,0.997428,6.387530,6.371099
980,0,9,10,0.980811,0.899303,0.889336,7.673960,6.824732
980,0,9,11,0.972095,0.818844,0.732996,4.862603,3.564267
980,0,9,12,0.901979,0.932525,1.055921,4.146457,4.378331
980,0,9,13,0.958101,0.881167,0.828631,3.073350,2.546673
980,0,9,14,0.981752,1.035891,1.050102,5.256820,5.520195
980,0,9,15,0.993211,0.984305,0.957833,9.614550,9.209129
980,0,10,0,0.937945,0.800282,0.601640,4.013638,2.414766
980,0,10,1,0.995381,0.995619,0.999454,18.321810,18.311804
980,0,10,2,0.974273,0.924541,0.872473,5.420508,4.729248
980,0,10,3,0.955711,0.802074,0.671628,3.371714,2.264536
980,0,10,4,0.996603,0.925309,0.924021,7.711009,7.125135
980,0,10,5,0.990863,1.022862,1.025622,9.352809,9.592443
980,0,10,6,0.981403,0.977740,0.964812,7.731436,7.459383
980,0,10,7,0.985216,0.843806,0.793702,6.825998,5.417809
980,0,10,8,0.984270,1.036634,1.048912,6.808813,7.141847
980,0,10,9,0.985601,1.026106,1.041922,7.684030,8.006164
980,0,10,10,0.986199,0.960018,0.970931,12.497222,12.133945
980,0,10,11,0.988939,0.978325,0.963007,8.326771,8.018741
980,0,10,12,0.954018,0.797161,0.688814,4.653223,3.205203
980,0,10,13,0.993716,1.044621,1.047795,10.475681,10.976366
980,0,10,14,0.935028,0.833949,0.667732,3.376400,2.254531
980,0,10,15,0.976079,1.040841,1.069287,4.607685,4.926939
980,0,11,0,0.996627,1.014422,1.018564,9.218587,9.389724
980,0,11,1,0.987762,1.085584,1.097569,9.585690,10.520952
980,0,11,2,0.981281,1.047572,1.074524,5.605718,6.023478
980,0,11,3,0.864314,1.020738,1.770623,-1.071036,-1.896402
980,0,11,4,0.940772,0.818245,0.641202,3.790642,2.430566
980,0,11,5,0.966592,1.119123,1.257287,4.134048,5.197686
980,0,11,6,0.895875,0.912676,1.059659,5.297230,5.613256
980,0,11,7,0.932754,0.882396,0.851864,3.765570,3.207752
980,0,11,8,0.972596,0.979162,0.987937,4.143566,4.093583
980,0,11,9,0.982923,0.926640,0.858461,3.603383,3.093362
980,0,11,10,0.900609,0.852919,0.568534,2.015330,1.145784
980,0,11,11,0.987548,0.839198,0.818916,6.657771,5.452154
980,0,11,12,0.905322,0.725314,0.499345,4.140021,2.067297
980,0,11,13,0.988619,1.094045,1.108526,9.882346,10.954833
980,0,11,14,0.975826,1.121742,1.203136,4.811596,5.789005
980,0,11,15,0.988010,1.068096,1.077276,9.332313,10.053473
980,0,12,0,0.986780,1.168719,1.200979,-2.794726,-3.356408
980,0,12,1,0.980841,1.081012,1.105274,7.193061,7.950301
980,0,12,2,0.931682,1.049023,1.745692,1.386577,2.420537
980,0,12,3,0.998367,1.091004,1.091056,-3.394085,-3.703136
980,0,12,4,0.958213,1.094608,1.359982,2.952096,4.014795
980,0,12,5,0.893608,1.002239,1.134550,2.652617,3.009528
980,0,12,6,0.905866,1.036390,2.529242,0.759185,1.920164
980,0,12,7,0.959169,0.896501,0.854328,4.984451,4.258358
980,0,12,8,0.938435,0.934734,0.968161,4.113453,3.982485
980,0,12,9,0.984223,1.140167,1.184175,7.114396,8.424691
980,0,12,10,0.974997,0.870158,0.801741,3.270148,2.621813
980,0,12,11,0.946488,1.026477,1.121946,3.886506,4.360448
980,0,12,12,0.965579,1.206317,1.395463,4.276214,5.967298
980,0,12,13,0.907474,0.907174,0.992741,2.632014,2.612908
980,0,12,14,0.957363,1.029112,1.077878,5.015826,5.406448
980,0,12,15,0.848822,0.914213,0.864280,2.393919,2.069017
980,0,13,0,0.932413,0.849149,0.826331,4.586256,3.789764
980,0,13,1,0.951182,0.985658,1.006738,4.394456,4.424066
980,0,13,2,0.926883,0.992986,1.461471,1.407649,2.057237
